id|name|url|latin_name|other_names|group|odor_profile|main_icon|alt_icons|background|fragrance_count|note_name_de|note_name_es|note_name_fr|note_name_cs|note_name_it|note_name_ru|note_name_pl|note_name_pt|note_name_el|note_name_zh|note_name_ja|note_name_nl|note_name_sr|note_name_ro|note_name_ar|note_name_uk|note_name_mn|note_name_ko|note_name_tr|note_name_sv|note_name_he|note_name_hu|note_group_de|note_group_es|note_group_fr|note_group_cs|note_group_it|note_group_ru|note_group_pl|note_group_pt|note_group_el|note_group_zh|note_group_ja|note_group_nl|note_group_sr|note_group_ro|note_group_ar|note_group_uk|note_group_mn|note_group_ko|note_group_tr|note_group_sv|note_group_he|note_group_hu
n136|Chocolate|https://www.fragrantica.com/notes/Dark-Chocolate-136.html|||Sweets and gourmand smells|A deep and rich gourmand note, rather bitter than sweet.|https://fimgs.net/mdimg/sastojci/t.136.jpg|https://fimgs.net/mdimg/sastojci/t2.136.jpg;https://fimgs.net/mdimg/sastojci/t3.136.jpg|https://fimgs.net/mdimg/sastojci/splash.136.jpg|1420|Schokolade|chocolate|Chocolat|Čokoláda|Cioccolato|Шоколад|Czekolada|Chocolate|Σοκολάτα|巧克力|ダークチョコレート|Chocolade|Čokolada|ciocolata|الشيكولاتة|Шоколад|Шоколад|다크 초콜릿|Bitter çikolata|Mörk choklad|שוקולד|Csokoládé|Naschwerk & gourmand|Aromas dulces y gourmand|Notes fruitées et gourmandes|Sladké a gurmánské vůně|Aromi dolci e gourmand|Сладкие и гурманские|Nuty słodkie i gourmand|Doces & cheiros gourmand|Γλυκες και gourmand μυρωδιες|糖果和美食类香调|スイーツ＆グルマン|Zoetigheden en gourmands|Slatki i gurmanski mirisi|Mirosuri dulci & gurmande|الحلوي و النكهات|Солодкі, гурманські запахи|Чихэрлэг ба гурманд үнэрүүд|달콤한 향 및 구어망드|Tatlilar ve gurme kokular|Sötsaker och gourmanddofter|ממתקים וריחות גורמאנד|Édességek és gourmand illatok
n138|Coconut|https://www.fragrantica.com/notes/Coconut-138.html|||Fruits, vegetables and nuts|A tropical fruity nutty sweet note with vanilla, milky nuances.|https://fimgs.net/mdimg/sastojci/t.138.jpg|https://fimgs.net/mdimg/sastojci/t2.138.jpg;https://fimgs.net/mdimg/sastojci/t3.138.jpg|https://fimgs.net/mdimg/sastojci/splash.138.jpg|4109|Kokosnuss|coco|Noix de Coco|Kokos|Cocco|Кокос|Kokos|Coco|Καρύδα|椰子|ココナッツ|Kokosnoot|Kokos|nuca de cocos|جوز الهند|Кокос|Наргил Модны Самар|코코넛|Hindistan cevizi|Kokosnöt|קוקוס|Kókusz|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n142|Juniper|https://www.fragrantica.com/notes/Juniper-142.html|||Greens, herbs and fougeres|It has a fresh balsamic, aromatic fragrance with piney nuances.|https://fimgs.net/mdimg/sastojci/t.142.jpg|https://fimgs.net/mdimg/sastojci/t2.142.jpg;https://fimgs.net/mdimg/sastojci/t3.142.jpg|https://fimgs.net/mdimg/sastojci/splash.142.jpg|1952|Wacholder|enebro|Genévrier|Jalovec|Ginepro|Можжевельник|Jałowiec|Zimbro|άρκευθος|杜松|ネズ|Jeneverstruik|Kleka|ienupar|العرعر|Ялівець|Арц|전통적인|Ardıç|En|ערער|Boróka|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n154|Black Orchid|https://www.fragrantica.com/notes/Orchid-154.html|||Flowers|Usually a fantasy synthetic floral note.|https://fimgs.net/mdimg/sastojci/t.154.jpg|https://fimgs.net/mdimg/sastojci/t2.154.jpg;https://fimgs.net/mdimg/sastojci/t3.154.jpg|https://fimgs.net/mdimg/sastojci/splash.154.jpg|1246|schwarze Orchidee|orquídea negra|Orchidée noire|Černá orchidej|Orchidea Nera|Черная орхидея|Czarna orchidea|Orquídea Negra|μαύρη ορχιδέα|墨兰|蘭|Zwarte Orchidee|Crna orhideja|orhidee neagra|الأوركيد الأسود|Чорна Орхідея|Хар Цахирмаа|난초|Orkide|Orkidé|סחלב שחור|Fekete orchidea|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n156|Leather|https://www.fragrantica.com/notes/Leather-156.html|||Musk, amber, animalic smells|Synthetic or naturally derived note of pungent characteristics, reminiscent of cured hides and leather goods. Usually rendered by birch tar or by synth isoquinolines.|https://fimgs.net/mdimg/sastojci/t.156.jpg|https://fimgs.net/mdimg/sastojci/t2.156.jpg;https://fimgs.net/mdimg/sastojci/t3.156.jpg|https://fimgs.net/mdimg/sastojci/splash.156.jpg|10795|Leder|cuero|Cuir|Kůže|Cuoio|Кожа|Skóra|Couro|δέρμα|皮革|革|Leer|Koža|pielarie|الجلود|Шкіра|Савхи|가죽|Deri|Läder|עור|Bőr|Moschus, ambra, animalische düfte|Almizcle, ámbar, aromas animálicos|Musc, ambre, odeurs animales|Pižmo, jantar, zvířecí vůně|Muschio animale, ambra, sentori animali|Анималистические ноты|Piżmo, ambra, nuty zwierzęce|Almíscar, âmbar, cheiros animálicos|Μοσχος,κεχριμπαρι και ζωωδεις μυρωδιες|麝香，龙涎香，动物类气味香调|ムスク、アンバー、アニマリック|Musk, amber, dierlijke geuren|Mošus, amber i životinjske komponente|Mosc, ambra, mirosuri animalice|المسك، العنبر، و المكونات ذات الأصل الحيواني|Мускус, амбра, анімалістичні ноти|Заар, хув, амьтанлаг үнэрүүд|머스크, 앰버, 애니멀릭 향|Misk, amber, ani̇mali̇k kokular|Mysk, ambra, animaliska dofter|מושק, ענבר, וריחות חייתיים|Pézsma, ambra, állatias illatok
n160|Mint|https://www.fragrantica.com/notes/Mint-160.html|||Greens, herbs and fougeres|A refreshing and cooling green note with peppery aspects.|https://fimgs.net/mdimg/sastojci/t.160.jpg|https://fimgs.net/mdimg/sastojci/t2.160.jpg;https://fimgs.net/mdimg/sastojci/t3.160.jpg|https://fimgs.net/mdimg/sastojci/splash.160.jpg|4813|Minze|menta|Menthe|Máta|Menta|Мята|Mięta|Hortelã|μέντα|薄荷|ミント|Munt|Nana|menta|النعناع|М'ята|Таримал Батраш|민트|Nane|Mynta|מנטה|Menta|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n169|Blackberry|https://www.fragrantica.com/notes/Blackberry-169.html|Rubus fruticosus||Fruits, vegetables and nuts|Blackberries are a synthetic note with a tangy-sweet fruity profile.|https://fimgs.net/mdimg/sastojci/t.169.jpg|https://fimgs.net/mdimg/sastojci/t2.169.jpg;https://fimgs.net/mdimg/sastojci/t3.169.jpg|https://fimgs.net/mdimg/sastojci/splash.169.jpg|1356|Brombeere|zarzamora (frambuesa negra)|Mûre|Ostružina|Mora|Ежевика|Jeżyna|Amora|Βατόμουρο|黑莓|ブラックベリー|Bramen|Kupina|mure|التوت الأسود|Ожина|Бөлжиргөнө|블랙베리|Böğürtlen|Björnbär|פטל שחור|Szeder|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n170|Pineapple|https://www.fragrantica.com/notes/Pineapple-170.html|||Fruits, vegetables and nuts|A fresh and juicy fruity note, fresh and slightly metallic.|https://fimgs.net/mdimg/sastojci/t.170.jpg|https://fimgs.net/mdimg/sastojci/t2.170.jpg;https://fimgs.net/mdimg/sastojci/t3.170.jpg|https://fimgs.net/mdimg/sastojci/splash.170.jpg|4340|Ananas|piña|Ananas|Ananas|Ananas|Ананас|Ananas|Abacaxi|ανανάς|菠萝|パイナップル|Ananas|Ananas|ananas|الأناناس|Ананас|Хан Боргоцой|파인애플|Ananas|Ananas|אננס|Ananász|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n175|Apricot|https://www.fragrantica.com/notes/Apricot-175.html|Prunus armeniaca||Fruits, vegetables and nuts|A fuzzy soft fruity note, with lactonic and soft animalic nuances.|https://fimgs.net/mdimg/sastojci/t.175.jpg|https://fimgs.net/mdimg/sastojci/t2.175.jpg;https://fimgs.net/mdimg/sastojci/t3.175.jpg|https://fimgs.net/mdimg/sastojci/splash.175.jpg|1990|Aprikose|chabacano|Abricot|Meruňka|Albicocca|Абрикос|Morela|Damasco|Βερίκοκο|杏|アプリコット|Abrikoos|Kajsija|caisa|المشمش|Абрикос|Гүйлс|살구|Kayısı|Aprikos|משמש|Sárgabarack|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n183|Caramel|https://www.fragrantica.com/notes/Caramel-183.html|||Sweets and gourmand smells|A candy-deep, sensual and rich, creamy buttery lactonic note that enriches gourmand perfumes and adds sweetness to floral compositions.|https://fimgs.net/mdimg/sastojci/t.183.jpg|https://fimgs.net/mdimg/sastojci/t2.183.jpg;https://fimgs.net/mdimg/sastojci/t3.183.jpg|https://fimgs.net/mdimg/sastojci/splash.183.jpg|4794|Karamell|caramelo|Caramel|Karamel|Caramello|Карамель|Karmel|Caramelo|Καραμέλα|焦糖|キャラメル|Karamel|Karamela|caramel|الكاراميل|карамель|Карамель|캐러멜|Karamel|Kola|קרמל|Karamell|Naschwerk & gourmand|Aromas dulces y gourmand|Notes fruitées et gourmandes|Sladké a gurmánské vůně|Aromi dolci e gourmand|Сладкие и гурманские|Nuty słodkie i gourmand|Doces & cheiros gourmand|Γλυκες και gourmand μυρωδιες|糖果和美食类香调|スイーツ＆グルマン|Zoetigheden en gourmands|Slatki i gurmanski mirisi|Mirosuri dulci & gurmande|الحلوي و النكهات|Солодкі, гурманські запахи|Чихэрлэг ба гурманд үнэрүүд|달콤한 향 및 구어망드|Tatlilar ve gurme kokular|Sötsaker och gourmanddofter|ממתקים וריחות גורמאנד|Édességek és gourmand illatok
n184|Red Berries|https://www.fragrantica.com/notes/Red-Berries-184.html|||Fruits, vegetables and nuts|A general name for tangy and sweet red fruit notes.|https://fimgs.net/mdimg/sastojci/t.184.jpg|https://fimgs.net/mdimg/sastojci/t2.184.jpg;https://fimgs.net/mdimg/sastojci/t3.184.jpg|https://fimgs.net/mdimg/sastojci/splash.184.jpg|1537|rote Beeren|bayas rojas|Fruits rouges|Červené bobule|Bacche Rosse|Красные ягоды|Czerwone jagody|Bagas Vermelhas|κόκκινα μούρα|红浆果|赤いベリー|Rode bessen (Aalbes)|Crveno voće|fructe rosii|التوت الأحمر|Червоні Ягоди|Улаан Жимсгэнэ|빨간 딸기|Kırmızı meyveler|Röda bär|פירות יער אדומים|Piros bogyós gyümölcsök|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
